2025-04-29 11:15:53 | INFO  | root:60 | Lendo dados da aba de origem 'tiktokGeral'...
2025-04-29 11:15:53 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:15:53 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:15:53 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:15:53 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:15:53 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:15:54 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:54 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:54 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27?valueRenderOption=FORMULA&dateTimeRenderOption=FORMATTED_STRING HTTP/1.1" 200 None
2025-04-29 11:15:55 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:15:55 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:15:55 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:15:55 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:15:55 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:15:55 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:55 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:56 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:15:56 | DEBUG | root:66 | Cabeçalho real encontrado na aba 'tiktokGeral': ['Date', 'Account name', 'Campaign name', 'Ad group name', 'Ad name', 'Campaign ID', 'Start', 'End', 'Campaign objective type', 'Preview Link', 'Placement', 'Content (utm)', 'Impressions', 'Cost', 'Link clicks', 'Video_Play', 'Video watches at 25%', 'Video watches at 50%', 'Video watches at 75%', 'Video watches at 100%', 'Post reactions', 'Post shares', 'Post comments', 'Post comments']
2025-04-29 11:15:56 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:15:56 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:15:56 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:15:56 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:15:56 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:15:56 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:57 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:57 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:15:57 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Content (utm)
2025-04-29 11:15:57 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Campaign name
2025-04-29 11:15:57 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Ad group name
2025-04-29 11:15:57 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Ad name
2025-04-29 11:15:57 | INFO  | utils.substitute_origin_values:161 | [subst] nenhuma célula a gravar – nada foi alterado
2025-04-29 11:15:57 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:15:57 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:15:57 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:15:57 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:15:57 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:15:58 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:58 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:15:58 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:15:58 | WARNING | utils.normalize:100 | [normalize_date_columns] 4740 valores inválidos em 'Date' (ex.: [''])
2025-04-29 11:15:58 | WARNING | utils.normalize:100 | [normalize_date_columns] 4743 valores inválidos em 'Start' (ex.: [''])
2025-04-29 11:15:58 | WARNING | utils.normalize:100 | [normalize_date_columns] 4743 valores inválidos em 'End' (ex.: [''])
2025-04-29 11:15:59 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "POST /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values:batchUpdate HTTP/1.1" 200 None
2025-04-29 11:15:59 | INFO  | utils.normalize:124 | [normalize_date_columns] 8 células atualizadas no Sheets
2025-04-29 11:15:59 | INFO  | root:85 | Preenchendo datas Start/End faltantes a partir de BI_PARAMETRIZAÇÃO…
2025-04-29 11:15:59 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:15:59 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:15:59 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:15:59 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:15:59 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:15:59 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:00 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:00 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:16:00 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:16:00 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:16:00 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:16:00 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:16:00 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:16:01 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:01 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:01 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27BI_PARAMETRIZA%C3%87%C3%83O%27 HTTP/1.1" 200 None
2025-04-29 11:16:01 | INFO  | utils.datas:58 | BI_PARAMETRIZAÇÃO loaded: 4943 rows
2025-04-29 11:16:01 | DEBUG | utils.normalize:216 | normalize_campaign_series: normalizando série com 4943 elementos
2025-04-29 11:16:13 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:16:13 | INFO  | root:42 | === Iniciando ETL Geral para plataforma: tiktok ===
2025-04-29 11:16:13 | INFO  | root:60 | Lendo dados da aba de origem 'tiktokGeral'...
2025-04-29 11:16:13 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:16:13 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:16:13 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:16:14 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:16:14 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:16:14 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:14 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:15 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27?valueRenderOption=FORMULA&dateTimeRenderOption=FORMATTED_STRING HTTP/1.1" 200 None
2025-04-29 11:16:15 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:16:15 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:16:15 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:16:15 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:16:15 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:16:15 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:16 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:16 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:16:16 | DEBUG | root:66 | Cabeçalho real encontrado na aba 'tiktokGeral': ['Date', 'Account name', 'Campaign name', 'Ad group name', 'Ad name', 'Campaign ID', 'Start', 'End', 'Campaign objective type', 'Preview Link', 'Placement', 'Content (utm)', 'Impressions', 'Cost', 'Link clicks', 'Video_Play', 'Video watches at 25%', 'Video watches at 50%', 'Video watches at 75%', 'Video watches at 100%', 'Post reactions', 'Post shares', 'Post comments', 'Post comments']
2025-04-29 11:16:16 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:16:16 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:16:16 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:16:16 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:16:16 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
