date,account_name,campanha,id_campanha,veiculo,id_veiculo,ad_group_name,ad_name,start,end,objective,url_do_anuncio,utm_content,cost,impressions,link_clicks,video_play,video_watched_25,video_watched_50,video_watched_75,video_watched_100,post_reactions,post_shares,post_comments,engajamento_total,id,verba,custo_por_resultado_projetado,volume_esperado
2025-06-10,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_GABRIELA BAILAS STORIES_ACAO_SBRAE_2025_PSMN0292,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289133272779482,sbrae_2025_psmn0292,"1898,9",177679,12529,1974,9445,4231,2490,1737,176,3,0,179,"2025-06-10-PSMN-177679-1898,9-12529",50440,2.5,20176
2025-06-10,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_VIC CERIDONO STORIES_ACAO_SBRAE_2025_PSMN0291,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289130216113121,sbrae_2025_psmn0291,"2410,91",347083,13084,9879,62716,25433,15159,9911,697,8,3,708,"2025-06-10-PSMN-347083-2410,91-13084",50440,2.5,20176
2025-06-11,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_CARD_KV_ACAO_SBRAE_2025_PSMN0293,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKrvzH_gBFK/,sbrae_2025_psmn0293,"35,45",10588,134,0,0,0,0,0,7,2,3,12,"2025-06-11-PSMN-10588-35,45-134",50440,2.5,20176
2025-06-11,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_GABRIELA BAILAS REELS_ACAO_SBRAE_2025_PSMN0289,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkdzLsAOWD/,sbrae_2025_psmn0289,"1,99",248,7,32,30,6,3,0,1,0,0,1,"2025-06-11-PSMN-248-1,99-7",50440,2.5,20176
2025-06-11,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_VIC CERIDONO REELS_ACAO_SBRAE_2025_PSMN0290,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkicL_goW1/,sbrae_2025_psmn0290,"180,29",33533,675,937,553,229,146,113,34,3,2,39,"2025-06-11-PSMN-33533-180,29-675",50440,2.5,20176
2025-06-11,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_GABRIELA BAILAS STORIES_ACAO_SBRAE_2025_PSMN0292,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289133272779482,sbrae_2025_psmn0292,"2226,29",200177,12070,2855,15300,6470,3730,2521,282,6,3,291,"2025-06-11-PSMN-200177-2226,29-12070",50440,2.5,20176
2025-06-11,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_VIC CERIDONO STORIES_ACAO_SBRAE_2025_PSMN0291,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289130216113121,sbrae_2025_psmn0291,"2643,77",354007,12422,10083,59799,25051,15223,10149,856,9,6,871,"2025-06-11-PSMN-354007-2643,77-12422",50440,2.5,20176
2025-06-12,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_CARD_KV_ACAO_SBRAE_2025_PSMN0293,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKrvzH_gBFK/,sbrae_2025_psmn0293,"70,13",21369,240,0,0,0,0,0,12,3,0,15,"2025-06-12-PSMN-21369-70,13-240",50440,2.5,20176
2025-06-12,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_GABRIELA BAILAS REELS_ACAO_SBRAE_2025_PSMN0289,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkdzLsAOWD/,sbrae_2025_psmn0289,"9,16",1033,31,94,85,39,17,10,20,0,0,20,"2025-06-12-PSMN-1033-9,16-31",50440,2.5,20176
2025-06-12,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_VIC CERIDONO REELS_ACAO_SBRAE_2025_PSMN0290,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkicL_goW1/,sbrae_2025_psmn0290,"401,62",62277,1487,2867,1272,507,297,205,85,2,0,87,"2025-06-12-PSMN-62277-401,62-1487",50440,2.5,20176
